"","Region","Year","Gender","Name","Count"
"460","Total Belgium",1995,"Girls","Hafsa",19
"461","Total Belgium",1995,"Girls","Anaëlle",19
"462","Total Belgium",1995,"Girls","Diana",19
"463","Total Belgium",1995,"Girls","Joanna",19
"464","Total Belgium",1995,"Girls","Imke",19
"465","Total Belgium",1995,"Girls","Nena",19
"466","Total Belgium",1995,"Girls","Ariane",19
"467","Total Belgium",1995,"Girls","Isaura",19
"468","Total Belgium",1995,"Girls","Marissa",19
"469","Total Belgium",1995,"Girls","Charlène",19
"470","Total Belgium",1995,"Girls","Mélodie",19
"471","Total Belgium",1995,"Girls","Jelke",19
"472","Total Belgium",1995,"Girls","Birgit",19
"473","Total Belgium",1995,"Girls","Pamela",19
"474","Total Belgium",1995,"Girls","Natasja",19
"475","Total Belgium",1995,"Girls","Giulia",18
"476","Total Belgium",1995,"Girls","Valentina",18
"477","Total Belgium",1995,"Girls","Léna",18
"478","Total Belgium",1995,"Girls","Dina",18
"479","Total Belgium",1995,"Girls","Mariam",18
"480","Total Belgium",1995,"Girls","Ambre",18
"481","Total Belgium",1995,"Girls","Adèle",18
"482","Total Belgium",1995,"Girls","Thaïs",18
"483","Total Belgium",1995,"Girls","Ayse",18
"484","Total Belgium",1995,"Girls","Melisa",18
"485","Total Belgium",1995,"Girls","Diane",18
"486","Total Belgium",1995,"Girls","Betül",18
"487","Total Belgium",1995,"Girls","Saartje",18
"488","Total Belgium",1995,"Girls","Andréa",18
"489","Total Belgium",1995,"Girls","Sally",18
"490","Total Belgium",1995,"Girls","Jenny",18
"491","Total Belgium",1995,"Girls","Natasha",18
"492","Total Belgium",1995,"Girls","Kathy",18
"493","Total Belgium",1995,"Girls","Kübra",18
"494","Total Belgium",1995,"Girls","Cathy",18
"495","Total Belgium",1995,"Girls","Debbie",18
"496","Total Belgium",1995,"Girls","Debby",18
"497","Total Belgium",1995,"Girls","Talitha",18
"498","Total Belgium",1995,"Girls","Elif",17
"499","Total Belgium",1995,"Girls","Rosalie",17
"500","Total Belgium",1995,"Girls","Line",17
"501","Total Belgium",1995,"Girls","Emmy",17
"502","Total Belgium",1995,"Girls","Selina",17
"503","Total Belgium",1995,"Girls","Angela",17
"504","Total Belgium",1995,"Girls","Rabia",17
"505","Total Belgium",1995,"Girls","Carla",17
"506","Total Belgium",1995,"Girls","Edith",17
"507","Total Belgium",1995,"Girls","Tiziana",17
"508","Total Belgium",1995,"Girls","Lydia",17
"509","Total Belgium",1995,"Girls","Laïla",17
"510","Total Belgium",1995,"Girls","Anouchka",17
"511","Total Belgium",1995,"Girls","Katia",17
"512","Total Belgium",1995,"Girls","Soukaïna",17
"513","Total Belgium",1995,"Girls","Marie-Laure",17
"514","Total Belgium",1995,"Girls","Klaartje",17
"515","Total Belgium",1995,"Girls","Prescillia",17
"516","Total Belgium",1995,"Girls","Griet",17
"517","Total Belgium",1995,"Girls","Büsra",17
"518","Total Belgium",1995,"Girls","Zeynep",16
"519","Total Belgium",1995,"Girls","Céleste",16
"520","Total Belgium",1995,"Girls","Gloria",16
"521","Total Belgium",1995,"Girls","Meryem",16
"522","Total Belgium",1995,"Girls","Violette",16
"523","Total Belgium",1995,"Girls","Luana",16
"524","Total Belgium",1995,"Girls","Emely",16
"525","Total Belgium",1995,"Girls","Yaël",16
"526","Total Belgium",1995,"Girls","Aurelie",16
"527","Total Belgium",1995,"Girls","Tara",16
"528","Total Belgium",1995,"Girls","Catharina",16
"529","Total Belgium",1995,"Girls","Chaïma",16
"530","Total Belgium",1995,"Girls","Cyrielle",16
